pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
HaskDw00,dwayne-haskins-1,00-0035232,Dwayne Haskins,QB,2019,1,15,WAS,ohio st.,75.0,231.0,5.04,28.5,,,,,40371.0,57531.0,5654751.0,449.0,18.0,2479.0,86108.0,4.0,,,,4.0,4.0,16.0,0,0,0,False,skill_pass,False,True,False,False
ValdMa00,marquez-valdes-scantling-1,00-0034272,Marquez Valdes-Scantling,WR,2018,5,174,GNB,south florida,76.0,206.0,4.37,30.5,124.0,15.0,,,,,,,,28.0,4108.0,1.0,22222253.0,281257415879.0,156.0,29.0,18.0,116.0,0,0,5,False,skill_pass,False,True,False,False
SmitGe00,geno-smith-1,00-0030565,Geno Smith,QB,2013,2,39,NYJ,west virginia,74.0,218.0,4.58,33.5,124.0,,,,32241346369.0,49372526518.0,309276343854205.0,1243142.0,1776.0,171065666.0,,22.0,,,,57.0,12.0,109.0,2,0,5,False,skill_pass,False,True,False,False
LeexMa00,marqise-lee-1,00-0031431,Marqise Lee,WR,2014,2,39,JAX,southern california,72.0,192.0,4.52,38.0,127.0,,,4.01,,,,,,5136.0,331067.0,0.0,7311857.0,11431721791.0,11144.0,17.0,17.0,59.0,0,0,2,False,skill_pass,False,True,False,False
BennAr00,arrelious-benn-1,00-0027654,Arrelious Benn,WR,2010,2,39,TAM,illinois,73.0,219.0,4.57,37.0,118.0,20.0,,,,,,,,32237.0,15810123.0,21.0,546738.0,6761055490.0,232.0,8.0,7.0,61.0,0,0,2,False,skill_pass,False,True,False,False
CharDJ00,dj-chark-1,00-0034777,DJ Chark,WR,2018,2,61,JAX,louisiana state,75.0,199.0,4.34,40.0,129.0,16.0,,,,,,,,11212.0,7912263.0,121.0,2640.0,11466874.0,33.0,21.0,13.0,76.0,1,0,4,False,skill_pass,False,True,False,False
McCoCo00,colt-mccoy-1,00-0027688,Colt McCoy,QB,2010,3,85,CLE,texas,73.0,216.0,4.79,,114.0,,,,217276332332.0,318424433470.0,2570330338593521.0,29223427.0,718812.0,68114136129.0,170492561348.0,24113.0,,,,17.0,9.0,56.0,0,0,2,False,skill_pass,False,True,False,False
McClRa00,ray-ray-mccloud-1,00-0034407,Ray-Ray McCloud,WR,2018,6,187,BUF,clemson,69.0,190.0,4.53,34.5,113.0,13.0,,,,,,,,756.0,482830.0,0.0,294949.0,251472503.0,121.0,14.0,0.0,100.0,0,0,1,False,skill_pass,False,True,False,False
HarnCh00,chandler-harnish-1,00-0029554,Chandler Harnish,QB,2012,7,253,IND,northern illinois,74.0,219.0,4.68,32.5,112.0,,6.78,4.15,118143189228.0,211223292365.0,1528167025303118.0,8112127.0,9656.0,11889137177.0,5392298361231.0,42710.0,,,,,,,0,0,0,False,skill_pass,True,True,False,False
MattRi00,rishard-matthews-1,00-0029580,Rishard Matthews,WR,2012,7,227,MIA,nevada,72.0,217.0,4.54,36.0,,20.0,6.88,4.19,,,,,,55.0,,20.0,5691.0,8791364.0,58.0,22.0,8.0,87.0,0,0,4,False,skill_pass,False,True,False,False
ColeSt00,stacy-coley-1,00-0033968,Stacy Coley,WR,2017,7,219,MIN,miami,73.0,195.0,4.45,34.0,122.0,10.0,,,,,,,,251.0,803015.0,100.0,33234863.0,591184693754.0,7049.0,0.0,0.0,7.0,0,0,0,False,skill_pass,False,True,False,False
HuffJo00,josh-huff-1,00-0030990,Josh Huff,WR,2014,3,86,PHI,oregon,71.0,206.0,4.51,35.5,116.0,14.0,,,,,,,,126.0,21428.0,20.0,19313262.0,3034304931140.0,32712.0,6.0,6.0,37.0,0,0,0,False,skill_pass,False,True,False,False
CunnB.00,bj-cunningham-1,00-0029564,B.J. Cunningham,WR,2012,6,183,MIA,michigan st.,73.0,211.0,4.52,31.5,116.0,12.0,7.1,,,,,,,413.0,56026.0,0.0,41485079.0,5286416111306.0,4912.0,0.0,,2.0,0,0,0,False,skill_pass,False,True,False,False
DarbAm00,amara-darboh-1,00-0033937,Amara Darboh,WR,2017,3,106,SEA,michigan,74.0,214.0,4.45,36.0,124.0,17.0,,,,,,,,2.0,2.0,0.0,365857.0,473727862.0,257.0,1.0,1.0,16.0,0,0,0,False,skill_pass,False,True,False,False
SmitJu00,juju-smith-1,00-0033857,JuJu Smith-Schuster,WR,2017,2,62,PIT,southern california,73.0,215.0,4.54,32.5,120.0,15.0,,,,,,,,215.0,3427.0,0.0,548970.0,7241454914.0,51010.0,43.0,30.0,121.0,1,0,4,False,skill_pass,False,True,False,False
CoreCo00,cody-core-1,00-0032795,Cody Core,WR,2016,6,199,CIN,mississippi,75.0,205.0,4.47,31.5,119.0,14.0,,,,,,,,41.0,861.0,0.0,144137.0,491558644.0,64.0,3.0,3.0,51.0,0,0,0,False,skill_pass,False,True,False,False
MallRy00,ryan-mallett-1,00-0028012,Ryan Mallett,QB,2011,3,74,NWE,arkansas,79.0,253.0,5.37,24.0,103.0,,,,61225266.0,141403411.0,89236243869.0,73032.0,5712.0,335844.0,,124.0,,,,4.0,0.0,21.0,0,0,0,False,skill_pass,False,True,False,False
HiggRa00,rashard-higgins-1,00-0032977,Rashard Higgins,WR,2016,5,172,CLE,colorado st.,73.0,196.0,4.64,32.0,116.0,13.0,,,,,,,,1.0,20.0,0.0,689675.0,83717501062.0,6178.0,13.0,13.0,85.0,0,0,0,False,skill_pass,False,True,False,False
JohnRo05,ronald-johnson-2,00-0028120,Ronald Johnson,WR,2011,6,182,SFO,southern california,71.0,199.0,4.46,,,16.0,,,0.0,1.0,0.0,0.0,0.0,4615.0,2732425.0,0.0,7333464.0,110570378692.0,1838.0,,,,0,0,0,False,skill_pass,True,True,False,False
JoneCa01,cardale-jones-1,00-0033098,Cardale Jones,QB,2016,4,139,BUF,ohio st.,77.0,253.0,4.81,36.0,,,,,156110.0,292176.0,38601460.0,78.0,25.0,177264.0,128296193.0,112.0,,,,0.0,0.0,1.0,0,0,0,False,skill_pass,False,True,False,False
ColeCo00,corey-coleman-1,00-0032966,Corey Coleman,WR,2016,1,15,CLE,baylor,71.0,194.0,4.42,40.5,129.0,17.0,,,,,,,,1122.0,53111.0,10.0,356474.0,52711191363.0,21120.0,6.0,5.0,27.0,0,0,2,False,skill_pass,False,True,False,False
LouiRi00,ricardo-louis-1,00-0033079,Ricardo Louis,WR,2016,4,114,CLE,auburn,74.0,215.0,4.43,38.0,132.0,18.0,,,,,,,,2191829.0,2198220158.0,11.0,3282146.0,36325261716.0,233.0,3.0,3.0,32.0,0,0,1,False,skill_pass,False,True,False,False
FloyMi00,michael-floyd-1,00-0029638,Michael Floyd,WR,2012,1,13,ARI,notre dame,75.0,220.0,4.4,36.5,122.0,16.0,,,,,,,,112.0,8913.0,1.0,484479100.0,71979510251147.0,79129.0,28.0,27.0,102.0,0,0,3,False,skill_pass,False,True,False,False
NelsJJ00,,00-0032112,JJ Nelson,WR,2015,5,159,ARI,ala-birmingham,70.0,156.0,4.28,36.0,127.0,,7.02,4.15,,,,,,10125.0,2302245.0,1000.0,17224235.0,358414846655.0,4484.0,12.0,12.0,58.0,0,0,0,False,skill_pass,False,True,False,False
WyliDe00,devon-wylie-1,00-0029274,Devon Wylie,WR,2012,4,107,KAN,fresno st.,69.0,187.0,4.36,39.0,123.0,17.0,,,,,,,,24318.0,-15116448.0,0.0,12217256.0,4426925939716.0,2411.0,0.0,0.0,8.0,0,0,0,False,skill_pass,False,True,False,False
MontTy01,ty-montgomery-1,00-0032200,Ty Montgomery,WR,2015,3,94,GNB,stanford,72.0,221.0,4.55,40.5,121.0,,6.97,4.21,,,,,,211323.0,,1021.0,24266161.0,350213958604.0,20103.0,17.0,13.0,92.0,0,0,1,False,skill_pass,False,True,False,False
JenkA.00,aj-jenkins-1,00-0029654,A.J. Jenkins,WR,2012,1,30,SFO,illinois,72.0,190.0,4.37,38.5,124.0,12.0,,,,,,,,15.0,-126.0,0.0,11105690.0,2871237461276.0,3178.0,2.0,0.0,28.0,0,0,0,False,skill_pass,False,True,False,False
RyanSe00,sean-ryan-1,00-0022817,Sean Ryan,TE,2004,5,144,DAL,boston col.,76.0,268.0,4.97,32.5,115.0,22.0,,,,,,,,11.0,242.0,0.0,11192525.0,151219264399.0,1003.0,1.0,0.0,53.0,0,0,0,False,skill_pass,False,True,False,False
FullCo00,corey-fuller-2,00-0030095,Corey Fuller,WR,2013,6,171,DET,virginia tech,74.0,204.0,4.43,31.5,120.0,12.0,,,,,,,,1.0,10.0,0.0,243.0,19815.0,6.0,3.0,3.0,28.0,0,0,0,False,skill_pass,False,True,False,False
WilsTy00,tyler-wilson-1,00-0030568,Tyler Wilson,QB,2013,4,112,OAK,arkansas,74.0,215.0,4.95,28.5,112.0,,7.22,4.39,112234277249.0,223651438401.0,6921845336383387.0,1242421.0,223613.0,3246041.0,,40.0,,,,,,,0,0,0,False,skill_pass,True,True,False,False
RiveMy00,mychal-rivera-1,00-0030514,Mychal Rivera,TE,2013,6,184,OAK,tennessee,75.0,242.0,4.81,31.0,112.0,17.0,7.17,4.43,,,,,,,,,112936.0,112344562.0,15.0,10.0,10.0,61.0,0,0,1,False,skill_pass,False,False,False,False
BrowJu00,justin-brown-1,00-0030466,Justin Brown,WR,2013,6,186,PIT,oklahoma,,,,,,,,,0.0,1.0,0.0,0.0,1.0,21.0,-120.0,0.0,5333573.0,78452517879.0,125.0,1.0,1.0,8.0,0,0,0,False,skill_pass,False,True,True,False
