pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof
JohnKy02,kyron-johnson-3,00-0037084,Kyron Johnson,DE,2022,6,181,PHI,kansas,,,,,,,,,,,,,,3.0,15.0,1.0,80.0,1290.0,12.0,,,,,,,,,,,,,,1.0,1.0,22.0,0,0,0,False
BarnAm00,amare-barno-1,00-0037043,Amare Barno,DE,2022,6,189,CAR,virginia tech,77.0,246.0,4.36,37.0,131.0,,,4.45,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,29.0,0,0,0,False
AdenHa00,hakeem-adeniji-1,00-0036310,Hakeem Adeniji,T,2020,6,180,CIN,kansas,76.0,302.0,5.17,34.0,115.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,9.0,55.0,0,0,0,False
AromDe00,devin-aromashodu-1,00-0024447,Devin Aromashodu,WR,2006,7,233,MIA,auburn,74.0,201.0,4.35,39.0,120.0,,7.04,4.16,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,61.0,0,0,0,False
LewiMy99,myron-lewis-1,00-0027672,Myron Lewis,CB,2010,3,67,TAM,vanderbilt,74.0,203.0,4.42,37.0,126.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,28.0,0,0,0,False
ButlKe21,,00-0022760,Kelly Butler,T,2004,6,172,DET,purdue,79.0,320.0,5.11,30.5,105.0,,7.96,4.92,,,,,,,,,,,,,,,,,,,,,,,,,8.0,6.0,22.0,0,0,1,False
TaylJa00,jamaar-taylor-1,00-0022679,Jamaar Taylor,WR,2004,6,168,NYG,texas a&m,73.0,197.0,4.46,,,,,,,,,,,2.0,3.0,0.0,,,,,,,,,,,,,,,,,1.0,1.0,13.0,0,0,0,False
ThorHu00,hugh-thornton-1,00-0030071,Hugh Thornton,G,2013,3,86,IND,illinois,75.0,320.0,5.11,,,27.0,7.45,4.63,,,,,,,,,,,,,,,,,,,,,,,,,16.0,16.0,37.0,0,0,3,False
SpikBr99,brandon-spikes-1,00-0027668,Brandon Spikes,LB,2010,2,62,NWE,florida,75.0,249.0,5.05,29.0,111.0,,6.97,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,19.0,78.0,0,0,5,False
MossJa99,jarvis-moss-1,00-0025404,Jarvis Moss,DE,2007,1,17,DEN,florida,78.0,250.0,4.7,30.5,120.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,53.0,0,0,0,False
WebsKa00,kayvon-webster-1,00-0030523,Kayvon Webster,CB,2013,3,90,DEN,south florida,70.0,195.0,4.41,35.0,125.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,69.0,0,0,1,False
DecuAu00,austin-deculus-1,00-0037302,Austin Deculus,T,2022,6,205,HOU,louisiana state,77.0,321.0,5.08,28.5,109.0,,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,26.0,0,0,0,False
LeexSe99,sean-lee-1,00-0027663,Sean Lee,LB,2010,2,55,DAL,penn st.,74.0,236.0,4.71,37.5,120.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,53.0,118.0,2,1,7,False
WatsMe00,,00-0030579,Menelik Watson,T,2013,2,42,OAK,florida st.,77.0,310.0,5.29,24.5,103.0,,8.31,5.01,,,,,,,,,,,,,,,,,,,,,,,,,9.0,7.0,34.0,0,0,2,False
