pfr_id,cfb_id,gsis_id,player_name,position,draft_year,projected_draft_pick,projected_contract_value,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,col_total_tackles,col_tfl,col_sacks,col_ints,col_pass_deflections,col_qb_hurries,col_fg_made,col_fg_attempted,col_xp_made,col_xp_attempted,col_punts,col_punt_yards,career_av,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,_raw_height,Hand Size,Arm Length,Wingspan,10 Yard Split,10 Yard Split,_raw_broad,10 Yard Split,10 Yard Split
,,,Kevin Coleman Jr,WR,2026,174,4960000,5,174,,missouri,70.0,179,4.49,38.5,126.0,,,,,,,,,20.0,111.0,0.0,189.0,2364.0,11.0,,,,,,,,,,,,,,,,,,,,,5100,948,3000,,,,1006,,
,,,J. Michael Sturdivant,WR,2026,129,5620000,4,129,,florida,75.0,207,4.4,39.0,131.0,,,,,,,,,4.0,-2.0,0.0,150.0,2073.0,16.0,,,,,,,,,,,,,,,,,,,,,6030,948,3278,,,,1011,,
,,,Chandler Rivers,CB,2026,70,7195385,3,70,,duke,69.5,185,4.4,39.0,130.0,,,,392.0,625.0,4837.0,38.0,9.0,216.0,448.0,7.0,2.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,5094,948,2938,,,,1010,,
,,,Toriano Pride Jr,CB,2026,143,5340000,5,143,,missouri,70.0,185,4.32,,128.0,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5100,928,3100,,,,1008,,
,,,Ted Hurst,WR,2026,56,9040000,2,56,,georgia state,76.0,206,4.42,36.5,135.0,,,,,,,,,,,,127.0,1965.0,15.0,,,,,,,,,,,,,,,,,,,,,6040,968,3258,,,,1103,,
,,,Will Lee III,CB,2026,133,5540000,4,133,,texas a&m,73.5,189,4.52,42.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6014,900,3268,,,,1100,,
,,,Malik Muhammad,CB,2026,79,6896410,3,79,,texas,72.0,182,4.42,39.0,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,978,3238,,,,1011,,
,,,De'Zhaun Stribling,WR,2026,52,9921818,2,52,,mississippi,74.125,207,4.36,36.0,127.0,,,,,,,,,,,,217.0,2977.0,23.0,,,,,,,,,,,,,,,,,,,,,6021,1000,3158,,,,1007,,
,,,Zane Durant,DT,2026,134,5520000,4,134,,penn state,74.0,290,4.75,33.5,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6018,1058,3178,,,,9'4,,
,,,Lee Hunter,DT,2026,36,13457857,2,36,,texas tech,75.5,318,5.18,21.5,100.0,,,,,,,,,98.0,619.0,9.0,14.0,196.0,4.0,,,,,,,,,,,,,,,,,,,,,6034,928,3328,8068,,,8'4,,
,,,Charles Demmings,CB,2026,120,5800000,4,120,,stephen f. austin,73.0,193,4.41,42.0,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6010,1018,3200,,,,1100,,
,,,Eli Stowers,TE,2026,46,11276923,2,46,,vanderbilt,76.0,239,4.51,45.5,135.0,,,,5.0,10.0,116.0,2.0,0.0,37.0,114.0,2.0,145.0,1769.0,11.0,,,,,,,,,,,,,,,,,,,,,6040,968,3258,7968,,,1103,,
,,,Eli Raridon,TE,2026,66,7330000,3,66,,notre dame,78.0,245,4.62,36.0,123.0,,,,,,,,,,,,48.0,623.0,3.0,,,,,,,,,,,,,,,,,,,,,6060,1068,3268,,,,1003,,
,,,Skyler Bell,WR,2026,153,5170000,5,153,,connecticut,71.625,192,4.4,41.0,133.0,,,,,,,,,15.0,162.0,0.0,220.0,2892.0,24.0,,,,,,,,,,,,,,,,,,,,,5115,1000,3178,,,,1101,,
,,,Malachi Lawrence,DT,2026,74,7060000,3,74,,central florida,76.0,253,4.52,40.0,130.0,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,6040,928,3358,,,,10'10,,
,,,Kenyon Sadiq,TE,2026,10,26266667,1,10,,oregon,75.0,241,4.39,43.5,133.0,,,,,,,,,9.0,42.0,0.0,80.0,892.0,11.0,,,,,,,,,,,,,,,,,,,,,6030,1000,3148,7828,,,1101,,
