pfr_id,cfb_id,gsis_id,player_name,position,draft_year,draft_round,draft_pick,draft_team,college,height_in,weight_lbs,forty_yard,vertical_jump,broad_jump,bench_reps,cone_drill,shuttle,col_pass_completions,col_pass_attempts,col_pass_yards,col_pass_tds,col_pass_ints,col_rush_attempts,col_rush_yards,col_rush_tds,col_receptions,col_rec_yards,col_rec_tds,weighted_av,draft_team_av,nfl_games,pro_bowls,all_pro,seasons_started,hof,position_group,missing_outcome,missing_combine,missing_height_weight,missing_college_stats
EwinBr00,bradie-ewing-1,00-0029420,Bradie Ewing,RB,2012,5,157,ATL,wisconsin,72.0,239.0,4.73,36.5,120.0,14.0,7.14,4.16,,,,,,7.0,33.0,2.0,28.0,328.0,2.0,0.0,0.0,2.0,0,0,0,False,skill_run,False,False,False,False
DwyeJo00,jonathan-dwyer-1,00-0027786,Jonathan Dwyer,RB,2010,6,188,PIT,georgia tech,71.0,229.0,4.64,33.0,107.0,15.0,7.56,4.67,,,,,,517.0,3226.0,35.0,15.0,263.0,1.0,8.0,8.0,38.0,0,0,1,False,skill_run,False,False,False,False
MareOw00,owen-marecic-1,00-0028062,Owen Marecic,RB,2011,4,124,CLE,stanford,72.0,248.0,4.87,28.5,102.0,22.0,7.1,4.56,,,,,,36.0,67.0,9.0,25.0,258.0,1.0,0.0,0.0,24.0,0,0,0,False,skill_run,False,False,False,False
ChubNi00,nick-chubb-1,00-0034791,Nick Chubb,RB,2018,2,35,CLE,georgia,71.0,227.0,4.52,38.5,128.0,29.0,7.09,4.25,,,,,,758.0,4769.0,44.0,31.0,361.0,4.0,49.0,47.0,100.0,4,0,5,False,skill_run,False,False,False,False
CookJa00,jameel-cook-1,00-0020391,Jameel Cook,RB,2001,6,174,TAM,illinois,70.0,226.0,4.8,29.5,108.0,17.0,7.55,4.38,,,,,,230.0,1503.0,14.0,67.0,730.0,6.0,4.0,2.0,109.0,0,0,2,False,skill_run,False,False,False,False
LascDa00,daniel-lasco-1,00-0032804,Daniel Lasco,RB,2016,7,237,NOR,california,72.0,209.0,4.46,41.5,135.0,23.0,7.22,4.26,,,,,,348.0,1872.0,18.0,48.0,458.0,2.0,0.0,0.0,10.0,0,0,0,False,skill_run,False,False,False,False
HillBr02,brian-hill-4,00-0033567,Brian Hill,RB,2017,5,156,ATL,wyoming,73.0,219.0,4.54,34.0,125.0,15.0,7.03,4.32,,,,,,775.0,4287.0,35.0,41.0,403.0,0.0,9.0,8.0,48.0,0,0,0,False,skill_run,False,False,False,False
SandMi01,miles-sanders-1,00-0035243,Miles Sanders,RB,2019,2,53,PHI,penn st.,71.0,211.0,4.49,36.0,124.0,20.0,6.89,4.19,,,,,,275.0,1646.0,12.0,32.0,193.0,1.0,34.0,29.0,88.0,1,0,4,False,skill_run,False,False,False,False
ThomAn01,anthony-thomas-2,00-0020403,Anthony Thomas,RB,2001,2,38,CHI,michigan,74.0,229.0,4.58,32.5,115.0,20.0,7.48,4.44,,,,,,243.0,1890.0,26.0,113.0,1296.0,15.0,27.0,22.0,86.0,0,0,3,False,skill_run,False,False,False,False
PierBe00,bernard-pierce-1,00-0029264,Bernard Pierce,RB,2012,3,84,BAL,temple,72.0,218.0,4.45,36.5,123.0,17.0,7.07,4.28,,,,,,639.0,3381.0,50.0,19.0,178.0,1.0,10.0,10.0,52.0,0,0,0,False,skill_run,False,False,False,False
